iter	Passed	Remaining
0	312	312100
1	516	257515
2	758	252024
3	933	232426
4	1107	220341
5	1346	223052
6	1580	224184
7	1750	217073
8	1961	215930
9	2148	212708
10	2315	208163
11	2517	207260
12	2686	204001
13	2849	200696
14	3038	199515
15	3234	198950
16	3385	195745
17	3562	194335
18	3762	194269
19	3918	192028
20	4071	189816
21	4259	189341
22	4451	189099
23	4635	188522
24	4831	188426
25	5023	188191
26	5200	187406
27	5362	186145
28	5544	185656
29	5755	186085
30	5947	185917
31	6113	184942
32	6285	184184
33	6459	183525
34	6650	183371
35	6840	183181
36	7014	182559
37	7175	181657
38	7361	181392
39	7531	180744
40	7692	179927
41	7855	179183
42	8048	179120
43	8237	178987
44	8417	178645
45	8603	178438
46	8793	178308
47	8964	177800
48	9122	177056
49	9282	176360
50	9448	175818
51	9620	175393
52	9773	174632
53	9947	174265
54	10127	174016
55	10314	173873
56	10479	173371
57	10684	173537
58	10890	173695
59	11066	173375
60	11206	172509
61	11397	172428
62	11596	172477
63	11761	172005
64	11955	171969
65	12119	171514
66	12304	171345
67	12492	171223
68	12657	170777
69	12871	171000
70	13045	170692
71	13236	170605
72	13433	170590
73	13632	170589
74	13803	170248
75	13983	170009
76	14152	169645
77	14366	169820
78	14550	169635
79	14738	169491
80	14910	169167
81	15131	169402
82	15339	169474
83	15527	169319
84	15717	169195
85	15929	169295
86	16162	169615
87	16368	169632
88	16547	169378
89	16718	169042
90	16907	168884
91	17101	168780
92	17279	168519
93	17462	168313
94	17672	168351
95	17863	168211
96	18028	167829
97	18192	167447
98	18360	167096
99	18549	166949
100	18705	166498
101	18884	166258
102	19101	166346
103	19302	166301
104	19485	166092
105	19667	165872
106	19850	165665
107	20044	165549
108	20255	165576
109	20483	165726
110	20684	165662
111	20861	165403
112	21060	165311
113	21260	165237
114	21498	165442
115	21656	165035
116	21841	164840
117	22022	164609
118	22205	164397
119	22425	164451
120	22588	164096
121	22789	164012
122	22985	163886
123	23152	163563
124	23344	163409
125	23511	163087
126	23684	162804
127	23909	162886
128	23985	161948
129	24151	161628
130	24314	161292
131	24507	161154
132	24683	160903
133	24883	160811
134	25077	160678
135	25164	159870
136	25352	159699
137	25566	159699
138	25759	159563
139	25933	159304
140	26126	159166
141	26321	159038
142	26444	158481
143	26653	158443
144	26824	158174
145	27027	158094
146	27195	157807
147	27374	157586
148	27605	157667
149	27770	157364
150	27992	157390
151	28122	156892
152	28324	156803
153	28528	156719
154	28730	156626
155	28918	156454
156	29121	156366
157	29282	156050
158	29472	155888
159	29690	155875
160	29878	155702
161	30087	155637
162	30288	155528
163	30499	155471
164	30752	155624
165	30926	155378
166	31155	155403
167	31343	155222
168	31527	155023
169	31757	155052
170	31959	154939
171	32170	154866
172	32369	154736
173	32556	154550
174	32737	154336
175	32931	154178
176	33104	153924
177	33276	153668
178	33454	153442
179	33648	153285
180	33805	152963
181	33990	152770
182	34185	152621
183	34368	152418
184	34574	152315
185	34805	152322
186	34992	152135
187	35190	151995
188	35351	151691
189	35557	151588
190	35729	151336
191	35936	151234
192	36131	151079
193	36299	150813
194	36499	150676
195	36727	150657
196	36946	150600
197	37123	150367
198	37333	150272
199	37492	149969
200	37750	150062
201	37974	150016
202	38178	149893
203	38341	149605
204	38548	149494
205	38751	149361
206	38941	149182
207	39149	149069
208	39365	148985
209	39534	148723
210	39725	148547
211	39911	148348
212	40130	148277
213	40330	148129
214	40503	147883
215	40721	147805
216	40884	147522
217	41003	147086
218	41184	146870
219	41370	146678
220	41423	146013
221	41685	146088
222	41870	145888
223	42082	145785
224	42275	145616
225	42471	145456
226	42661	145273
227	42822	144996
228	43049	144938
229	43241	144764
230	43481	144749
231	43681	144602
232	43886	144467
233	44101	144367
234	44301	144215
235	44422	143808
236	44633	143693
237	44864	143640
238	45052	143451
239	45221	143200
240	45420	143046
241	45626	142913
242	45819	142739
243	46024	142601
244	46210	142405
245	46415	142266
246	46599	142061
247	46791	141884
248	46972	141673
249	47194	141584
250	47372	141362
251	47579	141227
252	47801	141137
253	48042	141102
254	48292	141089
255	48531	141044
256	48789	141052
257	48988	140889
258	49203	140770
259	49439	140713
260	49637	140544
261	49841	140393
262	50084	140349
263	50265	140133
264	50489	140037
265	50694	139885
266	50902	139743
267	51077	139509
268	51286	139369
269	51510	139269
270	51730	139156
271	51919	138962
272	52141	138854
273	52332	138663
274	52554	138552
275	52780	138452
276	52987	138303
277	53194	138153
278	53407	138017
279	53620	137880
280	53816	137700
281	54012	137522
282	54270	137497
283	54443	137258
284	54661	137133
285	54866	136973
286	55052	136769
287	55204	136477
288	55388	136267
289	55555	136016
290	55810	135979
291	56041	135881
292	56229	135679
293	56496	135668
294	56745	135613
295	57020	135617
296	57299	135627
297	57474	135393
298	57741	135373
299	57919	135145
300	58116	134960
301	58322	134799
302	58535	134650
303	58739	134482
304	58970	134375
305	59158	134170
306	59373	134025
307	59596	133898
308	59809	133748
309	60033	133621
310	60243	133465
311	60448	133296
312	60633	133084
313	60839	132916
314	61029	132714
315	61237	132552
316	61444	132387
317	61656	132232
318	61839	132013
319	62043	131842
320	62267	131712
321	62444	131483
322	62645	131302
323	62871	131175
324	63061	130973
325	63280	130832
326	63500	130690
327	63743	130595
328	63962	130452
329	64162	130269
330	64380	130121
331	64591	129960
332	64803	129802
333	65017	129646
334	65243	129513
335	65434	129311
336	65656	129170
337	65856	128984
338	66044	128776
339	66272	128645
340	66464	128446
341	66644	128222
342	66834	128017
343	67064	127891
344	67270	127716
345	67476	127543
346	67692	127386
347	67881	127179
348	68092	127015
349	68240	126732
350	68431	126529
351	68636	126354
352	68850	126194
353	68988	125895
354	69183	125699
355	69374	125498
356	69649	125446
357	69827	125220
358	70018	125018
359	70284	124949
360	70521	124828
361	70737	124669
362	70979	124555
363	71204	124413
364	71426	124261
365	71646	124109
366	71856	123937
367	72015	123678
368	72219	123498
369	72434	123333
370	72684	123230
371	72854	122991
372	73094	122870
373	73298	122686
374	73535	122559
375	73744	122383
376	73915	122146
377	74103	121937
378	74330	121791
379	74523	121590
380	74722	121399
381	74911	121191
382	75082	120955
383	75286	120772
384	75473	120562
385	75689	120397
386	75871	120179
387	76100	120034
388	76267	119792
389	76453	119580
390	76642	119374
391	76841	119182
392	77080	119053
393	77283	118867
394	77466	118650
395	77669	118466
396	77838	118228
397	78052	118059
398	78268	117893
399	78501	117751
400	78721	117590
401	78950	117443
402	79142	117241
403	79380	117106
404	79588	116926
405	79801	116753
406	79986	116541
407	80180	116340
408	80343	116095
409	80544	115905
410	80719	115678
411	80883	115436
412	81082	115243
413	81270	115034
414	81451	114817
415	81628	114594
416	81849	114432
417	82059	114255
418	82258	114061
419	82476	113895
420	82647	113665
421	82850	113477
422	83051	113287
423	83244	113086
424	83440	112890
425	83774	112879
426	84265	113077
427	84663	113148
428	85177	113371
429	85649	113535
430	86105	113675
431	86573	113828
432	87041	113977
433	87527	114148
434	88037	114346
435	88600	114611
436	89136	114837
437	89373	114675
438	89561	114450
439	89805	114297
440	90005	114088
441	90217	113894
442	90406	113670
443	90601	113455
444	90810	113258
445	90988	113021
446	91188	112812
447	91400	112619
448	91598	112407
449	91828	112235
450	92014	112008
451	92195	111776
452	92390	111561
453	92609	111376
454	92791	111145
455	92994	110940
456	93192	110730
457	93398	110528
458	93565	110280
459	93739	110042
460	93896	109783
461	94075	109551
462	94273	109341
463	94505	109169
464	94704	108960
465	94879	108724
466	95070	108507
467	95254	108281
468	95471	108092
469	95649	107859
470	95832	107633
471	96037	107431
472	96258	107248
473	96444	107024
474	96619	106789
475	96805	106567
476	96977	106329
477	97194	106141
478	97399	105939
479	97653	105790
480	97862	105594
481	98070	105395
482	98263	105180
483	98445	104954
484	98627	104727
485	98802	104495
486	99002	104288
